,EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Eat
381,2,-5,-1,-1,-1,5,11,-1,False
382,-1,-10,-2,-1,-2,-3,-4,6,False
383,3,-2,0,1,-1,0,-5,-1,False
384,-13,-32,-4,-3,0,-2,-5,-4,False
385,1,1,0,-1,0,-3,4,0,False
386,5,9,1,-1,-2,-1,5,2,False
387,1,-2,1,0,0,1,6,-1,False
388,-3,10,2,2,0,-1,0,1,False
389,9,4,1,-1,-1,5,7,4,False
390,0,8,-3,-5,-1,-1,-1,-7,False
391,6,-1,-3,0,1,-2,-8,4,False
392,-6,-11,-1,-1,0,-5,-18,-5,False
393,4,3,-1,-1,-2,-3,-6,0,False
394,-2,1,-1,1,-1,-3,3,4,False
395,8,12,1,-1,2,-1,-2,-1,False
396,7,5,-3,-2,-3,-16,-44,-4,False
397,-10,-6,-1,-3,-2,1,9,-4,False
398,0,-1,0,0,1,6,7,1,False
399,9,5,1,1,1,-2,-7,2,False
400,5,3,0,1,-2,-2,-12,3,False
401,-2,-3,-3,-2,-2,10,27,-1,False
402,3,7,0,-1,0,2,14,-1,False
403,2,6,1,0,-1,-5,-12,-4,False
404,-8,-7,-2,-2,-1,-2,-6,-4,False
405,0,0,1,-1,-2,-4,-2,9,False
406,-8,-3,-3,0,-1,-7,-8,-2,False
407,-4,-5,-1,1,0,-2,-8,-5,False
408,-3,0,1,-3,-1,2,6,-4,False
409,-14,-7,-4,-2,-1,1,6,-5,False
410,-5,-2,-5,-2,-1,0,9,-3,False
411,-3,2,0,1,0,1,2,-3,False
412,8,7,0,1,-1,-1,-10,0,False
413,-3,-22,-2,-2,-1,-5,-10,-1,False
414,0,-3,1,1,0,6,18,4,False
415,-2,2,-1,0,-2,-4,-10,-4,False
416,-6,-4,0,-1,0,2,5,-4,False
417,3,9,-2,1,-2,-2,-1,1,False
418,-6,3,-1,-1,-1,-5,-2,-4,False
419,7,13,1,-1,-1,-7,-25,-3,False
420,6,2,-1,0,-1,0,-1,4,False
421,-3,-4,-2,-1,-2,-5,-25,-4,False
422,0,-5,-2,-2,-2,4,6,-3,False
423,3,7,2,-1,2,4,16,4,False
424,2,10,0,-1,1,-3,-5,-3,False
425,5,5,0,-1,-1,0,4,-2,False
426,-4,2,1,-1,0,2,9,-2,False
427,-19,-16,-4,-3,-2,-2,1,-1,False
428,-1,-2,-3,-1,-2,-8,-21,1,False
429,-5,-14,-2,0,0,0,0,0,False
430,-3,-3,-2,-3,-1,-4,-5,0,False
431,-3,0,-2,0,1,6,4,-5,False
432,1,-5,2,0,1,2,1,3,False
433,13,11,0,-1,-2,1,7,3,False
434,-8,-17,-6,-2,-3,0,0,-6,False
435,4,0,-2,0,0,-2,-4,-3,False
436,1,2,0,0,0,1,6,-3,False
437,2,2,-1,-1,-2,-6,-19,-1,False
438,-7,-10,-2,-1,-1,1,5,-2,False
439,3,9,0,-2,-2,4,16,-4,False
440,-2,-3,0,0,0,-3,8,0,False
441,-5,-1,-2,0,1,-1,-3,1,False
442,4,2,1,-2,-1,3,2,0,False
443,-6,-21,-3,-1,0,-2,6,-3,False
444,3,-1,-3,-1,-2,-2,-7,-3,False
445,-5,-5,1,-2,-3,0,0,-1,False
446,7,11,2,1,0,3,8,5,False
447,-3,-2,-2,0,1,-2,-9,-3,False
448,4,6,-1,0,-1,0,7,3,False
449,10,11,2,0,-1,-5,-13,4,False
450,-4,4,0,1,0,-3,-7,-2,False
451,-6,-6,-1,-3,-1,2,15,-2,False
452,-9,-12,-1,0,0,0,-4,-1,False
453,3,-2,1,-1,-1,2,5,1,False
454,0,-2,-1,0,-1,2,11,4,False
455,-2,5,-1,-2,-2,-12,-31,-5,False
456,-12,-5,2,1,-2,-2,-12,-1,False
457,7,-9,-1,-1,1,1,6,1,False
458,10,7,-2,-2,0,-1,15,-4,False
459,-1,7,1,0,1,4,5,2,False
460,6,-1,1,1,0,1,-2,1,False
461,-1,10,-1,0,-1,-8,-10,4,False
462,-4,-10,-2,-2,-1,-7,-32,0,False
463,2,0,-1,0,1,6,17,0,False
464,-15,-24,-5,-1,-1,0,0,-5,False
